TICKER,NAME,LAST,CHANGE_NOK,CHANGE_%,SELL,BUY,HIGH,LOW,VALUE_MNOK,CLOSE,TIME_HHMMSS,TIME_SECS
2020,2020 Bulkers,45.8,0.8,1.78,45.6,46.0,47.9,45.3,1.1,45.8,04:14:11,15251
FIVEPG,5th Planet Games,2.81,0.08,2.93,2.8,2.81,3.18,2.54,40.5,2.81,04:14:11,15251
ASC,ABG Sundal Collier Holding,3.65,0.05,1.39,3.62,3.71,3.65,3.55,856.7,3.65,04:14:11,15251
ADE,Adevinta,95.1,-1.45,-1.5,94.8,95.65,99.0,95.05,30.6,95.1,04:14:11,15251
AEGA,Aega,1.18,-0.02,-1.67,1.09,1.24,1.24,1.13,49.2,1.18,04:14:11,15251
AFG,AF Gruppen,167.4,-0.6,-0.36,167.4,169.0,169.4,167.0,6.8,167.4,04:14:11,15251
AKA,Akastor,3.9,0.12,3.04,3.71,3.96,3.9,3.73,496.3,3.9,04:14:11,15251
AKER,Aker,269.2,11.0,4.26,268.4,269.2,274.2,260.0,46.6,269.2,04:14:11,15251
AKERBP,Aker BP,157.5,2.65,1.71,157.5,158.0,164.0,155.65,417.4,157.5,04:14:11,15251
AKSO,Aker Solutions,5.75,0.25,4.55,5.745,5.755,5.845,5.51,11.1,5.75,04:14:11,15251
AKVA,AKVA Group,53.0,0.0,0.0,50.4,53.0,53.2,52.0,205.5,53.0,04:14:11,15251
AMSC,American Shipping Company,22.35,0.35,1.59,22.25,22.35,23.1,22.0,1.6,22.35,04:14:11,15251
ABT,Aqua Bio Technology,2.16,-0.02,-0.92,2.14,2.28,2.22,2.14,18.9,2.16,04:14:11,15251
AQUA,AqualisBraemar,3.06,0.04,1.32,3.1,3.5,3.46,3.06,73.0,3.06,04:14:11,15251
ARCHER,Archer,1.728,0.03,1.65,1.66,1.728,1.75,1.66,312.5,1.728,04:14:11,15251
ARCUS,Arcus,38.0,0.0,0.0,37.8,38.5,38.6,37.9,1.1,38.0,04:14:11,15251
AFK,Arendals Fossekompani,2520.0,20.0,0.8,2500.0,2740.0,2560.0,2520.0,492.6,2520.0,04:14:11,15251
ASETEK,Asetek,47.0,0.4,0.86,47.0,48.9,48.8,46.6,2.3,47.0,04:14:11,15251
ATEA,Atea,89.4,-0.6,-0.67,89.2,89.4,91.7,88.5,6.5,89.4,04:14:11,15251
ATLA NOK,Atlantic Petroleum,6.5,-1.78,-21.5,6.4,6.5,8.3,6.5,37.7,6.5,04:14:11,15251
AUSS,Austevoll Seafood,77.05,0.6,0.78,77.05,77.1,78.25,75.1,27.2,77.05,04:14:11,15251
AVANCE,Avance Gas Holding,19.15,0.0,0.0,19.04,19.15,19.42,18.3,20.2,19.15,04:14:11,15251
AVM,Avocet Mining PLC,1.555,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.555,04:14:11,15251
AWDR,Awilco Drilling,4.58,-0.37,-7.47,4.61,4.7,5.0,4.56,620.2,4.58,04:14:11,15251
ALNG,Awilco LNG,1.03,0.06,6.19,0.97,1.04,1.03,0.97,101.8,1.03,04:14:11,15251
AXA,Axactor,5.43,0.01,0.18,5.43,5.5,5.62,5.34,9.9,5.43,04:14:11,15251
AGS,Axxis Geo Solutions,0.966,0.03,3.65,0.942,0.97,1.0,0.932,1.1,0.966,04:14:11,15251
B2H,B2Holding,3.61,-0.03,-0.82,3.605,3.73,3.785,3.6,5.0,3.61,04:14:11,15251
BAKKA,Bakkafrost,569.0,-0.5,-0.09,568.5,569.0,576.5,562.5,98.9,569.0,04:14:11,15251
BEL,Belships,6.15,0.3,5.13,6.0,6.15,6.15,5.9,19.6,6.15,04:14:11,15251
BGBIO,BerGenBio,46.1,7.2,18.51,46.0,46.1,46.15,41.3,194.2,46.1,04:14:11,15251
BIOTEC,Biotec Pharmacon,24.3,1.5,6.58,24.2,24.3,24.5,22.8,11.7,24.3,04:14:11,15251
BON,Bonheur,198.4,3.4,1.74,197.0,198.4,202.0,194.0,13.0,198.4,04:14:11,15251
BOR,Borgestad,11.65,-0.05,-0.43,10.0,12.0,12.0,11.2,244.9,11.65,04:14:11,15251
BDRILL,Borr Drilling,5.05,-0.07,-1.37,5.045,5.2,5.595,4.932,12.0,5.05,04:14:11,15251
BRG,Borregaard,91.2,0.6,0.66,91.2,91.5,92.5,90.7,2.6,91.2,04:14:11,15251
BOUVET,Bouvet,481.0,14.0,3.0,481.0,489.0,489.0,467.0,14.8,481.0,04:14:11,15251
BWE,BW Energy Limited,12.9,0.3,2.4,12.81,13.0,13.4,12.8,9.8,12.9,04:14:11,15251
BWLPG,BW LPG,31.12,0.92,3.05,31.06,31.12,31.2,29.52,26.5,31.12,04:14:11,15251
BWO,BW Offshore Limited,29.88,2.58,9.45,29.88,29.9,30.66,27.9,47.9,29.88,04:14:11,15251
BMA,Byggma,82.5,0.0,0.0,82.5,86.5,0.0,0.0,0.0,82.5,04:14:11,15251
CARA,Carasent,15.25,-0.45,-2.87,15.25,16.2,16.6,15.0,1.6,15.25,04:14:11,15251
COV,ContextVision,144.0,0.0,0.0,144.0,144.5,145.5,142.5,1.0,144.0,04:14:11,15251
CRAYON,Crayon Group Holding,62.0,1.5,2.48,61.1,62.0,62.5,61.0,12.1,62.0,04:14:11,15251
DAT,Data Respons,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,04:14:11,15251
DNB,DNB,114.0,3.35,3.03,114.0,114.05,115.65,112.4,466.8,114.0,04:14:11,15251
DNO,DNO,4.46,0.21,5.04,4.46,4.488,4.62,4.35,47.1,4.46,04:14:11,15251
DOF,DOF,0.59,-0.02,-3.44,0.58,0.619,0.645,0.59,304.9,0.59,04:14:11,15251
EAM,EAM Solar,11.95,0.0,0.0,10.0,12.0,12.2,10.65,228.8,11.95,04:14:11,15251
EIOF,Eidesvik Offshore,3.5,0.16,4.79,3.5,3.82,3.56,3.5,4.4,3.5,04:14:11,15251
EMGS,Electromagnetic Geoservices,0.6,0.03,5.26,0.565,0.6,0.6,0.57,113.1,0.6,04:14:11,15251
ELE,Element,3.595,-0.02,-0.69,3.44,3.63,3.7,3.46,655.4,3.595,04:14:11,15251
ELK,Elkem,16.57,0.78,4.94,16.57,16.59,17.08,16.15,14.0,16.57,04:14:11,15251
